"","diversity","richness"
"Artic",1.02380740813232,2.19591218996831
"Indian",1.97440255978081,5.22259088150538
"North Atlantic",1.73867095120316,9.20055844182714
"North Pacific",2.34194128246673,7.24200757668505
"South Atlantic",1.86272484554393,6.50522054188788
"South Pacific",2.32213101465591,7.65462144190272
"Southern",2.31112630498863,4.79104977715239
