"","diversity_all","richness"
"Artic",5.49809009274805,182.880104534971
"Indian",5.00063391541335,528.724948409672
"NAtlantic",6.15943887040131,883.537779370565
"NPacific",6.49315165610044,802.627496032275
"SAtlantic",4.77295503788088,576.325077522503
"Southern",4.07343277019198,791.891704948202
"SPacific",6.44043004042865,769.411429360738
