"","diversity","richness"
"Artic",4.43819658761383,18.8896878373439
"Atlantic",5.56264977703553,46.7449041901398
"Indian",5.41999720856076,41.5587907350234
"Pacific",5.75935008429357,55.0102247455298
"Southern",3.61956473605794,10.0301461352272
