,Regions,coor
1,"Indian Ocean, Western","POLYGON ((20 -60, 20 -35, 29.9999995400000010 -31.3035589999999999, 32.8111095499999976 -25.6120819900000001, 35.4955545500000014 -24.1022184899999985, 34.6267995500000012 -19.6186099899999995, 40.8452725499999971 -14.7341639799999999, 39.2030275500000016 -4.6696184699999996, 47.9511095599999990 4.4602725400000001, 51.4113185599999980 10.4532545399999997, 50.7694365600000026 11.9791640400000006, 44.9355545599999999 10.4236090400000005, 42.5315275499999998 11.5119450400000005, 43.3274995599999997 12.4767270400000001, 39.7180545499999980 15.0880540500000002, 32.4776365499999997 29.9367990599999985, 34.2544365500000012 27.7286090600000001, 35.0036815500000031 29.5281900600000000, 34.5721455500000019 28.0958995599999994, 42.7377095599999990 16.6632635499999999, 43.4788815599999978 12.6749990399999994, 55.0319365699999992 17.0147180499999990, 59.8091635700000026 22.2233270500000017, 56.6197815700000007 24.4775640599999988, 56.4042095699999990 26.3687090600000005, 54.1237455699999970 24.1416640600000001, 51.2823545600000017 24.3000000599999986, 51.5672185600000006 25.9077090599999984, 50.7754095599999999 24.7208270600000013, 47.7072185600000012 29.3758270599999989, 48.9788815599999978 30.5115270599999988, 53.7477725700000022 26.7091630600000016, 66.4380365800000021 25.5933270600000000, 70.5097185799999977 23.0981900499999995, 68.9459545800000058 22.2892995499999991, 70.8251275800000002 20.6959630499999996, 72.9147725800000046 22.2711090499999997, 73.4474815800000016 16.0586090500000012, 76.9999995900000016 8.3462140399999996, 76.9999995900000016 0.0000000300000000, 79.9999995900000016 0.0000000300000000, 79.9999995900000016 -60.0000000100000008, 20 -60), (43.2791635600000006 -21.9083369899999987, 44.0322185599999969 -25.0044459900000007, 47.1330455599999993 -24.9280549899999997, 50.5013905599999973 -15.3227819800000002, 49.2722185599999989 -11.9470819800000001, 47.9970815599999980 -14.7672279799999995, 44.4427725600000016 -16.2038909800000006, 43.2791635600000006 -21.9083369899999987))"
2,"Indian Ocean, Eastern","POLYGON ((77.0000002000000023 0.0000000300000000, 77.0000002000000023 8.3641550400000000, 79.4462272100000035 9.1599270399999995, 80.2627727099999930 15.6756905500000006, 87.9061002100000053 22.4204090600000008, 90.2699907199999956 21.8469450599999995, 90.7096362199999930 23.5496540600000017, 93.9857092200000039 19.4571450500000012, 94.2509632200000027 15.9588815499999992, 96.8780362199999985 17.4499990499999988, 97.7372902200000055 16.5607640499999995, 98.1983182200000044 8.5277725400000008, 101.3661452300000008 2.9913180399999999, 95.2835812200000021 5.1183360400000000, 105.2433182299999999 -6.8102819700000001, 114.5552542399999965 -8.7819459700000007, 129.0000002499999994 -7.9999999700000002, 129.0000002499999994 -14.8710889799999997, 126.0175907499999965 -13.9265274800000007, 121.0274817399999989 -19.5922274799999983, 113.9333182400000055 -21.9761094899999989, 113.2244272399999971 -26.2391639900000015, 115.7399812400000059 -31.8680549900000010, 115.0089452400000027 -34.2624364999999997, 117.9341452400000065 -35.1253460000000004, 131.1485902500000122 -31.4740279899999997, 135.9564082599999892 -35.0082370000000012, 137.8162812600000109 -32.5668730000000011, 136.8314992599999869 -35.2518000000000029, 138.0922542600000043 -34.1349280000000022, 141.5713542599999926 -38.4172190000000029, 144.9176812700000028 -37.8685460000000020, 146.3941362699999900 -39.1472279999999984, 150.0000002699999868 -37.2594670000000008, 150.0000002699999868 -60, 80.0000002099999961 -60, 80.0000002099999961 0.0000000300000000, 77.0000002000000023 0.0000000300000000), (144.6488632699999926 -40.9012460000000004, 146.0382992700000102 -43.4980550100000016, 147.9955272699999966 -43.2275910099999976, 148.2210722700000076 -40.8490279999999970, 144.6488632699999926 -40.9012460000000004), (79.7085992100000027 8.2208270399999996, 80.1844182100000040 6.0347180399999996, 81.6774722100000048 6.4580540400000004, 80.2522092100000037 9.8249990399999998, 79.7085992100000027 8.2208270399999996))"
