,Regions,coor
11,Gulf of Mexico,"POLYGON ((-80.7951519500000046 24.8105070599999991, -83.0000000000000000 24.5833333299999985, -84.3216160500000029 21.9907256400000009, -90.0957193400000023 21.1550266700000016, -91.3093539500000020 18.5576167100000013, -94.9218750000000000 17.4068080199999997, -98.0139379499999990 22.1484375000000000, -96.5773297599999978 28.8324041400000013, -93.1658389600000021 30.3042042299999999, -90.3982598799999977 29.5510673500000003, -91.1646349399999991 30.2112516199999988, -87.5645238200000051 31.4648437500000000, -88.0290001599999954 30.2243977800000003, -84.9907851199999982 29.7151873100000010, -84.9875513300000023 30.9692784500000009, -82.9863096499999955 29.4664474699999985, -80.7951519500000046 24.8105070599999991))"
12,North Atlantic,"POLYGON ((-6.2638428199999998 62.3458242399999989, -0.8833333300000000 60.8500000000000014, -3.3637688200000002 58.5959888699999993, -7.1049307600000002 58.1835937500000000, -8.1090148699999993 54.6126326300000002, -10.2588530799999997 53.9751173300000033, -8.6381899099999995 52.6610033500000014, -11.5000000000000000 51.0000000000000000, -11.5000000000000000 49.0000000000000000, -5.4833293300000001 46.5005657900000031, -9.2999752800000000 43.0565514600000014, -8.2621405100000000 41.0655077700000035, -9.5003167400000006 38.7793673299999995, -8.9977010499999999 37.0224181399999992, -6.8467134200000004 37.3039082299999976, -5.9080866600000004 35.8012094500000018, -16.0055730300000008 23.6496745299999986, -17.1053459600000011 20.8446835300000011, -16.1704844200000011 16.5270878100000012, -17.5304460499999983 14.7401714300000002, -15.3635299199999995 13.6421871199999991, -16.7713090200000003 12.4043834200000003, -14.9284738299999997 12.0288344600000006, -12.5243684099999992 7.3839440300000003, -9.0379353800000004 4.9804902100000001, 6.6199670599999996 0.0000000000000000, -51.0591516499999969 0.0000000000000000, -49.8699777100000006 1.4062500000000000, -51.3976262799999972 4.3674664500000002, -54.6814215200000007 5.9781551400000001, -57.2751113200000006 5.2218263100000000, -59.1282565599999970 8.0328742299999991, -61.6628623499999975 8.5788612499999992, -59.4203305200000003 13.1474833499999999, -61.7950072300000031 17.7008036400000002, -83.0089607200000046 22.9637006499999998, -83.0000000000000000 24.5833333299999985, -80.1533031499999993 25.6711169499999983, -81.3114552499999945 32.0038113600000003, -75.7620822199999964 35.5850118399999999, -76.9090818199999973 36.5267337599999991, -75.5386295299999944 35.7836718599999983, -77.6953125000000000 37.5842634400000009, -76.2963535800000017 37.0167037300000032, -77.9969129600000031 39.6006039399999992, -76.3210449200000056 38.0382986099999982, -76.9921875000000000 41.2416293599999975, -74.8651523599999962 38.9360867700000028, -73.8459173399999997 42.2368633700000018, -73.9284205400000047 40.7808691299999992, -72.6186897799999969 42.1875000000000000, -70.9539593500000052 41.5141582500000013, -69.6099616300000008 44.5753346699999966, -65.4712679400000042 43.4487023399999970, -54.2683937500000013 47.9168591500000005, -53.0722937600000009 46.6579648299999974, -43.1202900400000004 60.0027750699999984, -44.1988425300000003 60.5918312100000023, -42.2253998500000023 61.7006777499999970, -43.1394275399999998 62.7463638799999970, -40.5104553700000025 63.6931748399999975, -41.1379769999999994 65.1441346400000043, -29.8568507399999987 68.4342293699999971, -22.3620557799999986 66.2709480500000012, -24.5339150400000001 65.5043077499999953, -21.6806383099999991 65.4529040999999978, -24.0437804499999999 64.8859894299999951, -21.4804542100000013 64.6674826099999933, -22.7060439599999988 63.7989376800000016, -13.5006548199999994 65.0833848700000033, -6.2638428199999998 62.3458242399999989))"
13,Gulf of St. Lawrence,"POLYGON ((-64.6724221399999948 47.7168349399999983, -66.9699175399999973 47.9184317599999972, -64.3936885600000011 49.0073671299999987, -66.7451858499999986 49.0884038200000035, -74.8647675499999963 44.9944852599999976, -66.6545726100000024 50.2097388500000008, -61.8168767100000025 50.1479385399999984, -61.8118798699999985 50.1097830499999972, -60.1505311700000007 50.1953622099999990, -55.2801220400000020 52.0166650999999973, -59.4131268300000031 47.8977334499999969, -54.7034465099999991 47.6719367500000004, -55.8041269499999970 46.8424749500000033, -61.1627594200000004 45.7051706299999978, -60.5965266199999988 47.0417640200000022, -61.5036108500000012 45.3497557600000007, -65.8266689799999938 46.9447996600000010, -64.6724221399999948 47.7168349399999983))"
14,Bay of Biscay,"POLYGON ((-4.0997213099999996 47.9721920499999968, -1.2052532400000000 47.3545206800000003, -2.1431051499999998 46.8199008699999979, -0.1462446400000000 44.8211128700000003, -1.1320648200000001 45.5132544000000010, -1.1936781400000001 43.5459535099999968, -7.8964672100000000 43.6694896200000002, -4.0997213099999996 47.9721920499999968))"
15,Celtic Sea,"POLYGON ((-6.9603716100000002 52.3829058399999994, -4.5269217499999996 51.0145960999999986, -5.4833293300000001 46.5005657900000031, -11.5000000000000000 49.0000000000000000, -11.5000000000000000 51.0000000000000000, -6.9603716100000002 52.3829058399999994))"
16,English Channel,"POLYGON ((1.4020546700000001 51.1660037099999983, 0.8612796100000000 49.3944106100000013, -1.9415010200000000 49.7268033000000003, -1.9713118100000000 48.5354725099999982, -5.7087284800000004 50.0567911600000031, 1.4020546700000001 51.1660037099999983))"
17,North Sea,"POLYGON ((5.2032209299999996 60.8320938100000035, 7.1403449800000001 60.4939857700000019, 5.6560803699999997 58.5581823600000035, 9.3655964199999993 57.0241094799999999, 8.1234457500000001 56.5565442999999988, 8.5823935299999992 54.3002853400000021, 12.0059423400000007 52.8752902700000007, 8.6668809699999994 53.8912761200000006, 4.7283719800000004 52.9602738600000009, 4.3829014300000004 51.0802161699999999, 0.2121777500000000 51.4828267099999977, 1.6980991400000001 52.7216510800000009, -3.8573461800000000 56.1142541199999982, -1.8236109000000000 57.6126166600000005, -4.4006248699999997 57.9184708599999993, -0.8833299999999999 61.0000000000000000, 5.2032209299999996 60.8320938100000035))"
18,Kattegat,"POLYGON ((10.6300872999999996 57.7352329599999976, 12.9388494499999993 56.5877367300000031, 12.9466284500000004 55.4157712499999988, 10.8691605300000003 55.7429194500000023, 11.8861994499999994 54.6337319100000016, 9.4291397299999993 54.8005062300000034, 10.6300872999999996 57.7352329599999976))"
19,Skagerrak,"POLYGON ((10.6616070300000008 59.9128763699999993, 11.8139248400000003 58.0769451999999973, 7.0037915399999999 57.9979067399999977, 10.6616070300000008 59.9128763699999993))"
20,Gulf of Guinea ,"POLYGON ((8.9751509699999996 -0.9359210800000000, -7.5929974299999996 4.8522371099999999, 3.7178945500000000 6.6226936600000004, 6.4443333100000002 4.3160541099999996, 8.0901645400000000 5.3793095400000004, 10.1274360399999992 3.8269671199999999, 8.9751509699999996 -0.9359210800000000))"
21,Mediterranean and Black Sea,"POLYGON ((-5.6136086699999996 35.8199764399999978, -0.7234726700000000 37.6022184400000015, 3.2580543400000002 43.2274904499999977, 8.7472183399999999 44.4280544499999976, 15.6637453499999992 40.0330544400000008, 16.0572903499999988 37.9242364400000014, 16.9192993499999993 40.4505544399999977, 18.5124993499999988 40.1347184400000003, 12.4223633499999995 44.1893004499999975, 13.1933363499999992 45.7780544499999991, 19.5977093499999988 41.8061094500000010, 21.1641633499999990 38.3000634400000024, 23.2246453600000002 38.1533994400000012, 21.1310363499999987 37.9370814400000000, 22.4888903499999984 36.3861094399999985, 24.0899993600000002 37.7766634400000001, 22.5852093499999995 40.4649994399999997, 29.0362453599999988 41.0545724500000020, 27.4495813599999998 42.4729814499999989, 31.7515183599999986 47.2523544499999986, 33.9302723699999973 44.3791544500000015, 36.6367903699999999 45.3779094499999971, 33.6816363699999997 46.2216544500000026, 39.2515183699999994 47.2631814499999976, 36.5804363700000010 45.1926994499999992, 41.7747273700000008 41.8856274500000012, 38.3558273700000001 40.9102734399999974, 33.3385993600000035 42.0198544499999969, 26.1747183600000000 39.9794364400000006, 27.4752723600000017 36.6499904400000034, 36.1663813700000034 36.8286094400000010, 33.6730453699999970 31.1200004399999983, 21.7138813500000012 32.9444454400000026, 18.9574993499999991 30.2763824399999990, 10.2663903399999992 33.7486004399999970, 11.1022183400000003 36.9044454400000035, 9.8586813400000004 37.3283364400000011, -1.9797186700000000 35.0733274399999999, -5.6136086699999996 35.8199764399999978), (12.4416633500000007 37.8061094400000002, 15.0813903499999995 36.6491634400000024, 15.6479363500000002 38.2645724400000020, 12.4416633500000007 37.8061094400000002), (8.1783363399999995 40.6363814400000010, 9.5650723400000004 39.1456184399999998, 9.5624993400000005 41.1177724499999968, 8.1783363399999995 40.6363814400000010), (8.6183363400000008 42.2530544500000005, 9.2196543399999999 41.3672904499999987, 9.4595813399999997 42.9880454500000013, 8.6183363400000008 42.2530544500000005))"
