"","Regions","coor"
"1","Pacific, Northeast","POLYGON ((-175.0000000100000079 40.0000002299999977, -173.9907550099999867 52.3221362399999990, -175.0000000100000079 52.0723762399999970, -175.0000000100000079 64.8120632499999942, -172.3591640100000006 64.4235822499999955, -172.6541910100000052 65.7026182500000004, -160.7827909899999952 64.7191542500000025, -166.1973549999999875 61.5902632499999996, -163.5551269999999988 60.8971092499999997, -165.4224360000000047 60.5521452500000024, -164.0652729999999906 59.8241632499999980, -161.8794269999999926 60.7022182500000014, -162.0783999999999878 58.6198542400000022, -156.7818179900000075 59.1512452500000023, -157.3979179899999963 57.4927722400000007, -163.3529090000000110 54.8097182400000023, -158.5052819899999861 55.9888822400000024, -149.6348549800000001 61.4873542500000028, -151.9762449899999979 59.2758272499999990, -147.7156819799999994 61.2754092500000027, -136.6589089699999988 58.2165182399999992, -135.0855359699999951 58.2330452400000027, -135.3478359700000055 59.4641542500000000, -132.1680639699999915 55.5844362400000023, -129.4781819700000085 55.4707542399999980, -130.4811089700000082 54.3647182400000020, -128.6061729600000092 54.0297822400000030, -128.3938909599999931 52.2913822399999972, -126.9741639599999985 52.8336722399999985, -127.7899909599999972 51.1655452400000001, -124.8069359600000041 50.9195822399999969, -122.2910999599999968 47.9581912399999979, -124.7143089599999968 48.3970722400000000, -123.1635729599999962 46.1951912299999989, -124.3613019600000058 40.5000002299999977, -175.0000000100000079 40.0000002299999977))"
"2","Pacific, Eastern Central","POLYGON ((-175.0000003199999981 20.0000004999999987, -174.9999997399999927 39.9999996999999965, -124.3613026900000023 40.4999996999999965, -109.9230636799999985 22.8666636799999985, -115.0311456799999945 31.9599996900000001, -113.0916726800000021 31.2297176900000011, -105.7991816699999958 22.6358276799999985, -104.9516816699999993 19.3152726799999996, -87.3983366500000045 13.4123636699999995, -82.8988456499999984 8.0256726700000005, -80.4368726499999980 7.2445816699999996, -78.9790996499999949 9.1385366700000006, -77.7791726500000067 8.1549996700000005, -79.9999996500000066 4.9999996600000003, -119.9999996899999957 4.9999996600000003, -119.9999996899999957 -25.0000003600000014, -174.9999997399999927 -25.0000003600000014, -175.0000003199999981 20.0000004999999987))"
"3","Pacific, Southeast","POLYGON ((-119.9999998800000043 -59.9999998300000001, -119.9999998800000043 5.0000002300000004, -80.0003073400000062 5.0000002300000004, -77.8897273399999932 7.2288907299999998, -77.0327183400000024 3.9184002300000000, -80.9127908399999995 -1.0365272699999999, -79.7268183399999941 -2.5969452799999999, -81.1747273400000040 -6.0866637800000003, -75.9338908400000037 -14.6518727900000005, -70.3380543300000056 -18.4008362900000009, -70.0533453299999991 -21.4256547899999994, -71.6550183399999980 -33.6625093000000035, -73.6770908400000053 -37.3472908099999970, -72.6138908399999963 -44.4727818100000007, -75.7105638400000061 -46.7936093200000016, -73.2265998400000058 -48.0030273200000011, -74.6568818399999969 -48.0297273199999992, -74.6887543400000027 -50.2070908199999977, -72.4688998400000060 -51.7891728199999974, -73.4493453399999936 -53.0020453200000006, -71.4752818399999938 -52.6333363199999980, -73.2125093399999969 -53.2347273199999975, -68.3827908300000047 -52.3273638200000022, -70.4236183299999965 -52.7702818200000010, -69.0080543299999931 -54.4763908199999989, -71.9677818400000007 -54.6432728200000000, -65.1400728299999940 -54.6532638199999994, -65.1376248299999929 -55.8780808300000018, -67.4113908300000020 -55.8343093300000035, -67.2666998299999932 -59.9999998300000001, -119.9999998800000043 -59.9999998300000001))"
"4","Pacific, Southwest","MULTIPOLYGON (((149.9024636400000077 -36.9233361400000035, 153.4549496399999953 -28.0832991300000003, 154.9999996399999986 -28.0832991300000003, 154.9999996399999986 -24.9999991299999991, 179.9999996699999940 -24.9999991299999991, 179.9999996699999940 -59.9999991600000016, 149.9999996399999986 -59.9999991600000016, 149.9024636400000077 -36.9233361400000035), (172.7391366600000140 -34.4355541400000007, 174.8874816599999917 -37.0591631400000026, 173.7519186600000012 -39.2886091399999984, 175.3181636600000104 -41.6154181500000035, 178.5576186700000108 -37.6956901400000035, 175.9944186600000080 -37.6388901400000009, 172.7391366600000140 -34.4355541400000007), (166.4706546600000081 -45.8194451500000000, 169.7018996600000094 -46.5580541499999967, 174.3195456599999886 -41.0019451399999966, 172.6302456600000141 -40.5105541400000035, 166.4706546600000081 -45.8194451500000000)), ((-179.9999996699999940 -59.9999991600000016, -179.9999996699999940 -24.9999991299999991, -119.9999996100000033 -24.9999991299999991, -119.9999996100000033 -59.9999991600000016, -179.9999996699999940 -59.9999991600000016)))"
"5","Pacific, Western Central","MULTIPOLYGON (((99.1443825900000064 9.7909738999999991, 100.9763455899999940 13.4628099100000007, 105.1212996000000004 8.6250639000000007, 109.0216815999999938 11.3622548999999999, 108.9289265999999969 15.0000009100000007, 115.0000006100000007 15.0000009100000007, 115.0000006100000007 20.0000009100000007, 179.9999996699999940 20.0000009100000007, 179.9999996699999940 -16.1546931200000010, 178.4778726700000107 -16.7657631199999990, 179.9999996699999940 -16.1732401199999991, 179.9999996699999940 -24.9999991299999991, 155.0000006399999961 -24.9999991299999991, 155.0000006399999961 -28.0832991300000003, 153.4549496399999953 -28.0832991300000003, 150.6345546400000046 -22.3430541299999987, 146.2776186399999858 -18.8870181200000005, 142.5566366300000141 -10.7216631200000005, 140.0585816299999919 -17.7184721200000013, 135.4513546299999973 -14.9327811199999996, 136.9783636299999898 -12.3581541200000000, 135.9127546299999949 -11.7655541199999991, 131.8741186199999902 -11.1772271199999995, 132.7489886200000058 -12.1354181200000006, 130.5942726199999981 -12.3898631199999993, 129.1910726199999999 -15.1824991199999992, 128.9224806199999875 -7.9999991100000001, 105.2159546000000034 -6.7752171099999998, 106.0491456000000028 -3.0169451100000000, 100.1914915899999983 2.7094459000000000, 104.2775455999999963 1.3690998900000000, 103.4099726000000032 4.8580549000000000, 99.1443825900000064 9.7909738999999991), (148.3581366399999979 -5.4926361100000003, 150.4685636400000135 -6.2761091100000002, 152.3557996399999865 -4.3430541099999997, 148.3581366399999979 -5.4926361100000003), (131.0116546200000016 -1.3347181100000001, 133.9342816200000073 -2.1041001100000001, 131.9569086200000072 -2.7870181100000000, 132.9121996199999955 -4.0979181100000002, 133.8288546199999871 -2.9616631099999999, 138.0652456299999926 -5.4089541099999998, 138.9102636300000029 -8.2983361099999993, 142.6388816299999860 -9.3347181199999998, 142.1390086300000064 -8.2238901099999993, 144.5228996300000119 -7.5029181100000004, 147.9524546400000133 -10.1458361200000002, 150.8780186399999934 -10.2299991200000004, 144.5137366300000110 -3.8222181100000001, 137.8601086300000134 -1.4716631099999999, 135.0041546299999879 -3.3413901099999999, 132.7131546200000116 -0.3670811100000000, 131.0116546200000016 -1.3347181100000001), (127.3988816199999974 1.1869458900000001, 128.4017906200000141 -0.8881901100000000, 128.7245456199999865 1.5569458899999999, 127.3988816199999974 1.1869458900000001), (121.9013726099999957 7.1454189000000001, 123.6766546199999937 7.8124998999999997, 125.4055456199999981 5.5633369000000004, 126.1860996199999931 9.2427729000000003, 121.9013726099999957 7.1454189000000001), (118.7783186099999995 -2.6891631100000000, 119.6726186100000007 -5.7012541099999998, 120.6869186100000064 -2.6438901100000001, 121.5524186100000037 -4.7456901100000000, 122.8480366099999941 -4.4352721099999997, 121.2987186099999946 -1.8004181100000001, 123.4113726100000008 -0.6536091100000000, 120.6785996100000062 -1.3976361100000001, 120.0199906099999936 -0.0752811100000000, 125.1705366199999929 1.6391638900000001, 120.2729726099999965 0.9852818900000000, 118.7783186099999995 -2.6891631100000000), (119.7577636099999978 16.1741639100000008, 120.6624186100000031 13.7688909099999996, 124.0963726199999968 12.5536099100000005, 121.3802546099999944 15.3024999099999999, 122.2388726100000014 18.5149999100000002, 120.5852726100000041 18.5113909099999994, 119.7577636099999978 16.1741639100000008), (122.4066456099999982 9.7986099000000006, 123.2449816099999964 9.1466639000000001, 123.5047186200000056 10.9373638999999994, 122.4066456099999982 9.7986099000000006), (121.8881726099999980 11.8995818999999994, 121.9699816100000049 10.4131909000000000, 123.1666546099999948 11.5644459000000008, 121.8881726099999980 11.8995818999999994), (108.8473455999999970 0.8248638900000000, 110.2619365999999985 -3.0025001100000002, 114.7090186100000011 -4.1758361099999997, 119.0019276099999956 0.9670818900000000, 117.0313816099999968 3.6006909000000000, 119.2677636100000029 5.3641639000000003, 116.7541726099999977 7.0180549000000001, 111.3783085999999969 1.3459728900000001, 109.6485636000000028 2.0734099000000001, 108.8473455999999970 0.8248638900000000)), ((-179.9999996699999940 -24.9999991299999991, -179.9999996699999940 20.0000009100000007, -174.9999996599999861 20.0000009100000007, -174.9999996599999861 -24.9999991299999991, -179.9999996699999940 -24.9999991299999991)))"
"6","Pacific, Nothwest","MULTIPOLYGON (((105.6105275999999975 19.0038909099999991, 108.4692186000000049 21.9356189099999987, 110.2788725999999997 20.2461089100000002, 113.6835906099999960 23.1526999199999999, 116.4817186100000015 22.9390189100000015, 121.6416636099999948 28.3472189199999995, 122.1044996100000049 29.9008279200000011, 120.1499826099999950 30.1969369199999988, 121.8697096100000010 31.0083279199999993, 119.6131096099999951 32.1906459200000015, 121.8902636100000052 31.7619459199999987, 119.1760916100000003 34.8849909300000007, 122.5585816100000045 37.3962459299999992, 119.2327546100000006 37.1436099299999967, 117.7994276099999951 39.1533189299999975, 121.1774636100000038 40.9219369300000011, 122.2986636100000055 40.5056189299999971, 121.1873366100000027 38.7190819300000015, 124.3735996199999931 40.0936179300000006, 125.6520726199999984 38.6294369299999971, 124.6700546200000019 38.1195099299999995, 126.6884906199999961 37.8339079300000023, 126.4783186199999960 34.3452729300000001, 129.1369366200000002 35.1122089300000013, 127.5176276199999990 39.7395729300000013, 131.8105186200000105 43.3255549300000027, 135.1310996299999942 43.5034279300000009, 140.1760906300000045 48.4501279400000016, 141.4148276299999907 53.2936099400000032, 135.2174726300000032 54.9302729400000018, 142.5874636300000020 59.2377729500000001, 154.7416366399999959 59.1269369500000010, 157.4866366500000083 61.8033179500000003, 160.3549546499999963 61.9474909500000024, 160.1389276499999994 60.5892279500000015, 165.6299906499999963 62.4427639499999998, 156.7601826499999902 57.7382549499999982, 155.5441276399999992 55.3035999399999980, 156.6682996499999945 50.8816639400000028, 163.3499636500000065 56.1959639499999994, 161.9385826500000007 58.0676279500000021, 163.6399726500000043 60.0458909500000004, 170.2424636599999985 59.9101279500000032, 176.9744096599999921 62.8640179499999974, 179.1013456700000006 62.2892999500000002, 178.2860996699999987 64.3538639500000045, 174.4501826599999958 64.6863639500000005, 179.9999996699999940 65.0687179500000070, 179.9999996699999940 19.9999999099999997, 115.0000006100000007 19.9999999099999997, 115.0000006100000007 14.9999999099999997, 108.9289265999999969 14.9999999099999997, 105.6105275999999975 19.0038909099999991), (139.7880276299999878 42.3499999300000027, 140.1989906299999973 41.3972819299999983, 140.4706546300000127 42.5708279300000001, 143.2431456299999866 41.9247189299999974, 145.8124086400000010 43.3654819300000014, 141.9710726300000090 45.4863819400000011, 139.7880276299999878 42.3499999300000027), (141.6519186300000115 52.3655459399999970, 141.9267456299999992 46.0456549399999986, 143.4313636299999928 46.0194369399999985, 142.9866366299999925 49.0955549399999995, 144.7406906299999889 48.6452999400000010, 142.7356546299999991 54.4202729399999967, 141.6519186300000115 52.3655459399999970), (130.9363726199999860 34.4010999300000009, 135.3335906300000033 34.7183189300000024, 135.7722186299999976 33.4549909200000002, 136.8498366299999986 35.0790279300000023, 140.3321816300000080 35.1298549300000005, 141.4558086300000070 41.3438819300000020, 136.0727546299999915 35.6486099299999992, 130.9363726199999860 34.4010999300000009), (129.5885816200000136 33.3640189199999995, 131.3345456200000001 31.3692369199999987, 131.6924726199999895 33.6241639200000009, 129.5885816200000136 33.3640189199999995), (120.0551186099999939 23.0738819100000008, 120.8241546099999937 21.9277729100000016, 122.0003996100000023 25.0072189199999997, 120.0551186099999939 23.0738819100000008), (108.6283085999999969 19.2802819099999994, 109.5666726000000040 18.1688819099999996, 111.0215455999999961 19.6382909099999985, 108.6283085999999969 19.2802819099999994)), ((-179.9999996699999940 20.0000009100000007, -179.9999996699999940 65.0689099500000054, -178.5261546700000110 66.4029099600000023, -175.0000006600000120 64.8120639499999953, -175.0000006600000120 20.0000009100000007, -179.9999996699999940 20.0000009100000007)))"
