,Regions,coor
1,"Arctic, Central West","POLYGON ((-94.8209727499999957 59.9556184899999991, -90.6274907500000069 63.0594364900000031, -93.7727087500000067 64.1902544900000009, -90.2363907499999982 63.6072184900000011, -86.9351267499999949 65.1429094899999939, -91.4291727500000064 65.9511004999999955, -87.3592267500000048 65.3254004900000069, -85.6074500900000004 65.8457395100000014, -87.2204087500000043 63.6708274900000006, -80.1743727399999955 63.7711734900000025, -85.4449211299999973 65.8940163000000041, -81.4138907399999994 67.0913735000000031, -82.6325087400000058 68.5009545000000060, -81.3356997399999955 69.1849825000000038, -85.8472267500000044 70.0888824999999969, -79.0173637399999933 70.6799824999999942, -75.5916727400000070 69.2216454999999939, -76.6288727400000056 68.6869185000000044, -73.7609727300000060 68.6858184999999963, -72.2583457300000020 67.2480275000000063, -74.4708637399999986 66.1348454999999973, -73.5005637299999961 65.4744274899999965, -78.1806907400000028 64.5699914900000067, -73.3015267300000062 64.6578364899999940, -66.3997267299999976 61.8718004899999983, -68.9930457300000057 63.7465184899999997, -65.1874997299999990 62.5622094900000008, -64.6340907299999969 63.9746094899999989, -68.8438907299999983 66.1887274999999988, -64.3623177300000009 66.3432185000000061, -65.5018087299999934 65.7488824899999997, -63.5469547300000031 64.8872094900000036, -61.2645817200000025 66.6260915000000011, -70.0288907300000005 69.5326275000000038, -67.8013817300000028 70.2606914999999930, -70.4658357299999949 69.8434644999999961, -68.3197267299999993 70.5648455000000041, -79.7413817399999942 72.2138735000000054, -76.0608177400000045 72.9038824999999946, -79.9999857399999996 73.6978424999999930, -80.0000197399999990 76.2388794999999959, -77.8903457400000008 76.9497735100000000, -81.9270087400000051 77.6835825099999937, -74.8701357399999949 78.5648455099999978, -66.0555547299999972 77.4913645099999968, -71.3752727300000060 77.0560915100000017, -68.5005637299999961 76.0869275000000016, -58.4236177200000029 75.7197094999999933, -54.2993087199999991 72.4812275000000028, -55.9052727199999993 71.6799824999999942, -53.5575637199999974 72.3529005000000041, -50.4915267100000023 70.5115184999999940, -54.6272177199999973 70.6530455000000046, -50.2119457100000020 70.0152735000000064, -53.3886087200000006 68.3290274999999951, -50.1441637100000008 67.9394185000000022, -53.7511817199999982 67.6046275000000065, -50.0709727099999995 67.5113824999999963, -53.8806907199999969 67.2604185000000001, -50.3504907100000025 67.1843185000000034, -53.9611087199999986 67.0742915000000011, -50.0011087099999969 66.9764365000000055, -53.4613177199999967 66.0288005000000027, -50.5469457100000028 65.7076914900000020, -52.5621547200000023 65.3200544900000040, -49.5877727100000030 64.3535914899999995, -51.7484727100000015 64.2020734900000036, -50.0480637100000010 64.1956734900000043, -51.6577727100000033 64.0105454899999984, -51.0594357100000025 63.1841544899999974, -44.7 60, -64.4712637300000040 60.2801094900000010, -66.0588817299999960 58.3202734899999982, -69.3636457300000018 57.7677734900000033, -68.3585997299999946 58.7701274900000001, -70.9458267299999932 60.0630454900000004, -69.5134457300000008 61.0660644900000023, -77.5083457399999958 62.5616644899999983, -78.1799267399999991 60.7879454899999985, -76.7588997400000039 60.1591544899999988, -78.5729907399999945 58.6288824900000023, -76.5316727400000048 56.3187454899999977, -79.7618087400000064 54.6516544799999977, -78.5070907399999953 52.4574914800000016, -79.3459357400000016 50.7349544799999990, -81.8788907400000028 52.1879094800000018, -82.3077727400000043 55.1488824799999975, -92.8683357500000000 56.9066544900000011, -94.8209727499999957 59.9556184899999991))"
2,"Arctic, Central East","POLYGON ((-32.4758266999999989 68.6219184699999971, -22.1013906899999988 70.1105364699999996, -29.2369456899999989 70.4453994699999981, -25.4102726899999993 71.2748454700000025, -28.5963906899999998 72.1338814700000057, -21.5649996900000005 70.4719274699999971, -21.8980546899999986 71.7383094700000044, -27.7283356900000015 73.1317904699999985, -18.9781906800000009 74.4834634799999975, -22.4258266900000010 75.1591454800000065, -19.3368086800000007 75.4020724800000011, -22.7388906900000016 76.7044364799999983, -18.3052816800000002 76.8060904799999946, -22.0369456899999996 77.6856724799999938, -17.4507636800000014 80.0565814800000055, -20.5548636900000012 80.1031814800000035, -16.1192356799999992 80.5069364799999931, -21.2488816900000010 80.5715904799999976, -12.1576356800000003 81.6006814800000058, -24.5116726900000010 80.5408184799999987, -22.0169456900000000 81.9330454800000041, -33.0983356999999998 81.7738814800000000, -21.3163906899999986 82.6109544800000037, -39.9999996999999965 82.9561024799999984, -39.9999996999999965 89.8999321799999933, 68.5000004000000047 89.8998956800000002, 68.5000004000000047 76.9544264799999951, 55.9256823899999986 75.1938634800000045, 56.9845823899999999 74.6871454799999981, 51.4058273799999981 71.8771994699999937, 60.9302633900000004 69.0872814699999935, 59.8426363900000027 68.3694274700000051, 53.7755543800000027 68.9669364699999932, 46.3819363799999991 66.7410904700000032, 44.9129093800000021 67.3656724700000069, 46.5273543799999985 68.1381724700000007, 43.3116633699999980 68.6849814699999968, 44.1744363700000022 65.8746904700000044, 36.8568633699999992 65.1783184699999936, 37.3591633699999974 63.8049904699999999, 31.8588093599999986 67.1528364699999969, 38.6077733699999968 66.0521994700000050, 40.9922183700000033 67.7160904699999975, 24.6676363599999995 70.9727724699999953, 18.2569453499999987 69.4863724700000063, 9.5452733399999996 63.7661094700000035, 10.9118003399999992 63.4580454700000018, 5.0801363400000001 62.1766634600000003, 7.5624643400000000 61.4703364599999986, 5.0122913400000000 61.0402724599999971, -0.91 60.95,-13.4994456799999991 65.0691544700000009, -32.4758266999999989 68.6219184699999971), (10.7444453400000004 79.5599814800000047, 13.0066643499999994 78.1974814799999933, 16.8108273500000003 78.6749904800000053, 13.5922183499999996 78.0521994799999987, 17.0061093499999991 77.9313634800000017, 13.9141643500000001 77.5249904799999996, 16.6127733500000012 76.5705454800000069, 21.5405543500000007 78.7599184799999961, 10.7444453400000004 79.5599814800000047))"
3,Arctic Sea,"MULTIPOLYGON (((53.9702735500000017 73.2877639600000066, 68.8610995599999995 76.5419279599999953, 68.5000005600000037 89.8998959799999966, 179.9999996699999940 89.8998579799999931, 179.9999996699999940 71.5358679600000045, 178.6193996700000071 71.0531729599999977, 179.9999996699999940 70.9971359599999943, 179.9999996699999940 68.9801009600000015, 170.4718906600000139 70.1341549600000036, 170.6119366599999978 68.7563369599999987, 164.0144366499999933 69.7674919600000010, 160.8378726500000084 68.5237369599999937, 159.0446906500000068 70.8698369600000007, 140.7488366299999996 72.8894369599999976, 139.0874636300000020 72.2302639600000020, 139.9324636300000009 71.4849829599999964, 132.7184456200000113 71.9410919599999943, 131.1302456200000108 70.7310919600000005, 118.6344276100000030 73.5716549600000036, 105.2119275999999957 72.7647099600000047, 113.8913726100000048 75.8450549599999988, 104.0713815999999952 77.7322099699999995, 98.8361085899999949 76.5060999600000002, 100.1862545900000043 75.1685369599999973, 93.1810905899999966 76.0997189600000041, 86.0356095799999991 74.8110189599999984, 87.6660995799999938 73.8908279599999958, 85.8417995800000000 73.4510999599999934, 86.7835995800000006 72.9940839599999975, 80.5185995700000063 73.5734639599999980, 83.6263635800000031 71.6253999599999958, 83.1069365799999957 70.0686009599999977, 82.0809635800000024 70.5645639600000010, 83.2616455800000068 71.7210829600000039, 76.0974905700000051 71.9285909599999940, 79.1085185700000011 71.0070729600000021, 76.9158185699999990 71.0697189600000030, 74.8299905700000068 72.8341549600000064, 73.0163825700000046 71.4185279600000058, 74.3205455699999931 70.6552549599999935, 73.7484545700000069 69.1712369600000017, 79.0411725700000005 67.5734369599999951, 74.6405455700000005 68.7691459600000030, 71.9999995699999999 66.2194369599999959, 68.9716455599999989 66.8063729600000045, 71.5509545700000018 66.6442909600000064, 73.6388815699999952 68.4415099600000048, 71.8062275700000043 71.4633279600000009, 72.8238725700000060 72.7113819599999971, 69.3792905600000012 72.9616549600000042, 66.6377635599999962 71.0684549599999968, 66.7937275599999936 69.5802729600000021, 69.2174815599999960 68.9558279599999935, 68.2650005600000043 68.1874829599999970, 60.1452735599999997 69.5731099599999965, 55.2210185499999966 71.9256099600000027, 56.4674915499999983 73.2155459600000000, 53.9702735500000017 73.2877639600000066), (99.3535905899999960 78.0535909700000019, 105.4131816000000015 78.5710909700000002, 102.3055456000000021 79.4255369699999960, 99.3535905899999960 78.0535909700000019)), ((-179.9999996699999940 68.9796999600000049, -179.9999996699999940 70.9972609600000055, -177.4415456700000107 71.2293469600000009, -179.9999996699999940 71.5358429599999965, -179.9999996699999940 89.8999789800000002, -39.9999995399999975 89.8999319800000052, -39.9999995399999975 83.0252849700000013, -41.4826365400000014 83.1622109700000038, -39.9999995399999975 82.9561039700000009, -46.8890275400000007 82.9627739700000006, -39.7947275399999967 82.3644289700000058, -60.8066635599999969 81.8799739699999947, -67.4819455599999998 80.3241549699999950, -63.7848755600000032 80.1448549699999973, -65.9766725599999972 79.1016559699999959, -72.8788725699999986 78.1666559699999937, -78.8854185699999988 79.0617829699999959, -61.0763905600000001 82.3208289699999938, -77.1838815699999969 83.0338739700000019, -75.4029275700000028 82.6169199699999979, -91.9530455900000021 81.6604009699999978, -76.4863185699999946 80.8692829700000004, -83.1972185799999977 80.3147109699999930, -80.6305545799999948 79.5641469699999959, -86.5147275799999989 80.2991469699999953, -81.4840275800000029 79.0457469699999962, -86.8569455800000014 78.7349829700000043, -82.3252095800000063 78.0726919699999939, -89.6726365800000025 76.5669289599999985, -80.0000105700000006 75.5536969599999964, -96.8651365900000059 76.9156829700000060, -91.5466635899999943 74.6473559599999987, -80.0000005699999974 74.8249619599999960, -80.8760995800000018 73.3331829600000020, -79.6855815699999965 72.1344649600000025, -80.9777725800000070 71.8885379599999936, -81.5452725800000024 73.7155469599999975, -85.0172275799999966 73.3483289600000035, -83.6379185800000045 72.9856739599999997, -85.6850635800000049 72.8972829599999983, -84.1679185800000056 72.0226289600000058, -85.8049534200000039 72.0138157100000029, -86.7327725800000024 72.7160919600000000, -84.8402815799999956 73.7387289600000031, -89.7538905800000038 72.6055469599999981, -89.9034815800000047 71.3530469600000004, -87.0052185800000046 70.9926919600000019, -89.3719365799999963 70.8169289599999985, -84.5343005799999929 69.0148549599999939, -87.5104185800000067 67.1146289600000046, -88.0452725800000024 68.8186009599999977, -90.2631995800000055 68.2358199600000006, -94.5716725900000057 71.9969379599999968, -96.5556185899999946 71.1336649600000044, -93.3675745900000038 69.3739369599999947, -95.7413815900000031 66.6380469599999969, -95.9802815900000041 68.2547189600000053, -106.2080636000000027 68.9409469600000051, -108.8159725999999949 68.2661009600000028, -105.6517996000000039 68.6361009599999932, -107.8879186000000061 68.0849919599999964, -107.2541546000000068 66.3515199600000045, -110.0773726000000039 68.0055559599999953, -113.2152363200000025 68.4579161000000056, -100.8699995900000062 69.7883199599999955, -106.8613905999999929 73.3108109599999977, -108.2931906000000026 73.1491559600000016, -107.7533456000000029 71.6102649599999950, -114.5616636099999965 73.3755379600000026, -119.1043086100000039 71.8799919599999981, -111.4940906000000069 70.3397739600000023, -117.4325636100000025 69.9834559600000006, -113.3115414300000054 68.4717996199999988, -128.0017996200000141 70.5895739599999956, -135.1599996299999873 68.6572109600000005, -156.5967276499999912 71.3514379599999984, -166.8236266600000022 68.3487369599999965, -160.2349996499999918 66.3980469600000021, -168.0200186600000052 65.6358289500000041, -174.4673726599999952 66.3034469600000023, -179.9999996699999940 68.9796999600000049), (-96.7416635900000017 80.1372199700000039, -90.3705365800000067 79.2455739699999953, -94.2880545900000016 78.9837379700000071, -92.0583365899999961 78.2088829700000048, -84.9055635800000061 79.2710289700000033, -93.3402815900000036 81.3722109699999976, -96.7416635900000017 80.1372199700000039), (-95.6683635899999985 73.5817919600000039, -94.0726365900000019 71.9772009600000047, -90.1975725799999992 73.8979739600000016, -95.6683635899999985 73.5817919600000039), (-102.7451365999999950 72.8192199599999981, -98.7252815899999945 71.2702649600000058, -96.3000635899999935 72.4263009600000061, -98.4481995900000015 72.8704009599999978, -97.7619455899999963 73.9119289599999973, -102.7451365999999950 72.8192199599999981), (-102.8027816000000030 75.6308109600000051, -97.2882635899999997 75.3988829599999946, -98.5047275900000017 76.6810919600000034, -102.8027816000000030 75.6308109600000051), (-117.6680546099999987 75.2924829600000010, -110.9161086000000012 75.2314379599999938, -114.4418636099999986 74.6644199600000036, -112.8569456099999968 74.3983289600000006, -105.3901455999999968 75.6476289600000058, -108.7811085999999960 76.8574829700000066, -110.3930636000000050 76.3919379600000070, -108.8966635999999966 75.4775559600000037, -114.9095816100000036 76.5156829600000066, -117.6680546099999987 75.2924829600000010), (-125.9005546199999941 71.9624919599999942, -122.7961086100000045 71.0841559600000039, -115.3190276100000062 73.4770649600000070, -124.7555726199999953 74.3427559600000052, -123.7747186200000016 73.7644379599999951, -125.9005546199999941 71.9624919599999942)), ((-85.1603120799999971 71.2331487200000026, -84.8052095799999961 70.9217919599999931, -86.8162455800000004 70.9878289600000016, -85.1603120799999971 71.2331487200000026)))"
