"","diversity","richness"
"Artic",9.21542741102474,1090.56254818706
"Atlantic",11.0947246003101,5932.72950625205
"Indian",10.9075876762347,5004.58961415782
"Pacific",11.3864661490135,7739.01216117299
"Southern",9.34189481171648,1220.84440361028
