"","Arctic","Atlantic","Indian","Pacific","Southern"
"nspecies",0.0437052979412596,0.286197526033175,0.237352985934477,0.383147459727385,0.0495967303637036
"nspecies_cryptic",0.0947368421052632,0.28,0.242105263157895,0.341052631578947,0.0421052631578947
