"","Ocean","beta diversity","standard deviation","beta diversity cryptic","standard deviation cryptic"
"1","Arctic",0.724013808609446,0.127389466122463,0.587978001813633,0.224234772278298
"2","Atlantic",0.887654288314793,0.101389894768885,0.837516979680557,0.161947549123777
"3","Indian",0.871423191344731,0.116499766621705,0.790938029943441,0.19859452738689
"4","Pacific",0.899608550048626,0.0936161786575718,0.892587488852831,0.153351931958055
"5","Southern",0.789226204973654,0.132999831605286,0.582818619344188,0.200959392812078
